Area_pop,Tipo_de_paciente,Qtd_pacientes,Dia
AP1,TP1,15,1
AP1,TP2,55,1
AP1,TP3,107,1
AP1,TP4,25,1
AP1,TP5,21,1
AP1,TP6,95,1
AP1,TP7,63,1
AP1,TP8,19,1
AP1,TP1,118,2
AP1,TP2,27,2
AP1,TP3,76,2
AP1,TP4,119,2
AP1,TP5,147,2
AP1,TP6,77,2
AP1,TP7,39,2
AP1,TP8,118,2
AP1,TP1,145,3
AP1,TP2,30,3
AP1,TP3,80,3
AP1,TP4,104,3
AP1,TP5,112,3
AP1,TP6,46,3
AP1,TP7,8,3
AP1,TP8,122,3
AP1,TP1,86,4
AP1,TP2,50,4
AP1,TP3,24,4
AP1,TP4,7,4
AP1,TP5,88,4
AP1,TP6,22,4
AP1,TP7,32,4
AP1,TP8,38,4
AP1,TP1,40,5
AP1,TP2,105,5
AP1,TP3,125,5
AP1,TP4,63,5
AP1,TP5,124,5
AP1,TP6,67,5
AP1,TP7,76,5
AP1,TP8,88,5
AP1,TP1,85,6
AP1,TP2,42,6
AP1,TP3,95,6
AP1,TP4,117,6
AP1,TP5,43,6
AP1,TP6,39,6
AP1,TP7,135,6
AP1,TP8,56,6
AP1,TP1,44,7
AP1,TP2,141,7
AP1,TP3,71,7
AP1,TP4,144,7
AP1,TP5,80,7
AP1,TP6,2,7
AP1,TP7,131,7
AP1,TP8,79,7
AP1,TP1,4,8
AP1,TP2,95,8
AP1,TP3,0,8
AP1,TP4,7,8
AP1,TP5,144,8
AP1,TP6,31,8
AP1,TP7,126,8
AP1,TP8,6,8
AP2,TP1,78,1
AP2,TP2,0,1
AP2,TP3,118,1
AP2,TP4,71,1
AP2,TP5,22,1
AP2,TP6,47,1
AP2,TP7,83,1
AP2,TP8,100,1
AP2,TP1,113,2
AP2,TP2,120,2
AP2,TP3,4,2
AP2,TP4,47,2
AP2,TP5,14,2
AP2,TP6,119,2
AP2,TP7,146,2
AP2,TP8,39,2
AP2,TP1,102,3
AP2,TP2,91,3
AP2,TP3,145,3
AP2,TP4,102,3
AP2,TP5,18,3
AP2,TP6,112,3
AP2,TP7,97,3
AP2,TP8,8,3
AP2,TP1,34,4
AP2,TP2,111,4
AP2,TP3,123,4
AP2,TP4,56,4
AP2,TP5,127,4
AP2,TP6,122,4
AP2,TP7,57,4
AP2,TP8,123,4
AP2,TP1,107,5
AP2,TP2,109,5
AP2,TP3,11,5
AP2,TP4,79,5
AP2,TP5,143,5
AP2,TP6,6,5
AP2,TP7,81,5
AP2,TP8,122,5
AP2,TP1,31,6
AP2,TP2,146,6
AP2,TP3,0,6
AP2,TP4,10,6
AP2,TP5,135,6
AP2,TP6,98,6
AP2,TP7,92,6
AP2,TP8,91,6
AP2,TP1,12,7
AP2,TP2,109,7
AP2,TP3,61,7
AP2,TP4,62,7
AP2,TP5,113,7
AP2,TP6,108,7
AP2,TP7,106,7
AP2,TP8,139,7
AP2,TP1,128,8
AP2,TP2,34,8
AP2,TP3,140,8
AP2,TP4,14,8
AP2,TP5,42,8
AP2,TP6,82,8
AP2,TP7,50,8
AP2,TP8,145,8
AP3,TP1,1,1
AP3,TP2,124,1
AP3,TP3,24,1
AP3,TP4,123,1
AP3,TP5,105,1
AP3,TP6,142,1
AP3,TP7,45,1
AP3,TP8,45,1
AP3,TP1,8,2
AP3,TP2,43,2
AP3,TP3,27,2
AP3,TP4,80,2
AP3,TP5,84,2
AP3,TP6,82,2
AP3,TP7,27,2
AP3,TP8,53,2
AP3,TP1,33,3
AP3,TP2,5,3
AP3,TP3,88,3
AP3,TP4,38,3
AP3,TP5,133,3
AP3,TP6,79,3
AP3,TP7,72,3
AP3,TP8,21,3
AP3,TP1,18,4
AP3,TP2,38,4
AP3,TP3,61,4
AP3,TP4,0,4
AP3,TP5,72,4
AP3,TP6,125,4
AP3,TP7,47,4
AP3,TP8,105,4
AP3,TP1,60,5
AP3,TP2,127,5
AP3,TP3,75,5
AP3,TP4,8,5
AP3,TP5,105,5
AP3,TP6,121,5
AP3,TP7,149,5
AP3,TP8,124,5
AP3,TP1,29,6
AP3,TP2,101,6
AP3,TP3,8,6
AP3,TP4,92,6
AP3,TP5,105,6
AP3,TP6,4,6
AP3,TP7,72,6
AP3,TP8,143,6
AP3,TP1,2,7
AP3,TP2,134,7
AP3,TP3,7,7
AP3,TP4,77,7
AP3,TP5,106,7
AP3,TP6,7,7
AP3,TP7,88,7
AP3,TP8,118,7
AP3,TP1,104,8
AP3,TP2,90,8
AP3,TP3,16,8
AP3,TP4,41,8
AP3,TP5,96,8
AP3,TP6,101,8
AP3,TP7,47,8
AP3,TP8,68,8
AP4,TP1,9,1
AP4,TP2,111,1
AP4,TP3,56,1
AP4,TP4,15,1
AP4,TP5,3,1
AP4,TP6,77,1
AP4,TP7,143,1
AP4,TP8,9,1
AP4,TP1,58,2
AP4,TP2,22,2
AP4,TP3,21,2
AP4,TP4,55,2
AP4,TP5,111,2
AP4,TP6,22,2
AP4,TP7,130,2
AP4,TP8,41,2
