Hospital,Tipo_de_paciente,Qtd_pacientes_liberados,Dia
H1,TP1,96,3
H1,TP2,87,3
H1,TP3,115,1
H1,TP4,47,1
H1,TP5,58,1
H1,TP6,57,3
H1,TP7,15,1
H1,TP8,128,2
H1,TP9,32,1
H1,TP10,89,3
H2,TP1,141,1
H2,TP2,12,3
H2,TP3,43,1
H2,TP4,101,1
H2,TP5,128,1
H2,TP6,87,1
H2,TP7,9,2
H2,TP8,133,3
H2,TP9,67,3
H2,TP10,43,1
H3,TP1,46,1
H3,TP2,32,3
H3,TP3,34,2
H3,TP4,135,2
H3,TP5,124,2
H3,TP6,19,1
H3,TP7,56,3
H3,TP8,92,1
H3,TP9,68,1
H3,TP10,115,2
H4,TP1,81,2
H4,TP2,36,1
H4,TP3,23,1
H4,TP4,115,2
H4,TP5,93,3
H4,TP6,26,2
H4,TP7,116,2
H4,TP8,84,2
H4,TP9,32,3
H4,TP10,67,1
H5,TP1,111,3
H5,TP2,5,2
H5,TP3,26,3
H5,TP4,55,2
H5,TP5,73,1
H5,TP6,15,1
H5,TP7,102,2
H5,TP8,9,1
H5,TP9,11,2
H5,TP10,97,3
H6,TP1,49,3
H6,TP2,12,1
H6,TP3,1,2
H6,TP4,117,1
H6,TP5,99,2
H6,TP6,43,3
H6,TP7,3,1
H6,TP8,59,1
H6,TP9,13,3
H6,TP10,68,2
H7,TP1,126,3
H7,TP2,56,2
H7,TP3,33,3
H7,TP4,104,3
H7,TP5,40,3
H7,TP6,37,1
H7,TP7,138,1
H7,TP8,137,1
H7,TP9,95,3
H7,TP10,1,1
H8,TP1,99,2
H8,TP2,3,2
H8,TP3,18,3
H8,TP4,125,1
H8,TP5,98,2
H8,TP6,112,3
H8,TP7,90,1
H8,TP8,102,2
H8,TP9,82,3
H8,TP10,98,3
