Area_pop,Tipo_de_paciente,Qtd_pacientes,Dia
AP1,TP1,140.0,1
AP1,TP2,125.0,1
AP1,TP3,285.0,1
AP1,TP4,162.0,1
AP1,TP5,47.0,1
AP1,TP6,321.0,1
AP1,TP7,165.0,1
AP1,TP8,216.0,1
AP1,TP9,153.0,1
AP1,TP10,284.0,1
AP1,TP1,265.0,1
AP1,TP2,161.0,1
AP1,TP3,400.0,1
AP1,TP4,166.0,1
AP1,TP5,316.0,1
AP1,TP6,148.0,1
AP1,TP7,228.0,1
AP1,TP8,190.0,1
AP1,TP9,75.0,1
AP1,TP10,183.0,1
AP1,TP1,193.0,1
AP1,TP2,163.0,1
AP1,TP3,173.0,1
AP1,TP4,223.0,1
AP1,TP5,193.0,1
AP1,TP6,44.0,1
AP1,TP7,271.0,1
AP1,TP8,183.0,1
AP1,TP9,195.0,1
AP1,TP10,260.0,1
AP1,TP1,244.0,2
AP1,TP2,145.0,2
AP1,TP3,72.0,2
AP1,TP4,311.0,2
AP1,TP5,177.0,2
AP1,TP6,327.0,2
AP1,TP7,191.0,2
AP1,TP8,219.0,2
AP1,TP9,228.0,2
AP1,TP10,207.0,2
AP1,TP1,242.0,2
AP1,TP2,169.0,2
AP1,TP3,351.0,2
AP1,TP4,188.0,2
AP1,TP5,265.0,2
AP1,TP6,73.0,2
AP1,TP7,64.0,2
AP1,TP8,237.0,2
AP1,TP9,138.0,2
AP1,TP10,319.0,2
AP1,TP1,164.0,2
AP1,TP2,211.0,2
AP1,TP3,268.0,2
AP1,TP4,136.0,2
AP1,TP5,235.0,2
AP1,TP6,191.0,2
AP1,TP7,243.0,2
AP1,TP8,173.0,2
AP1,TP9,202.0,2
AP1,TP10,146.0,2
AP1,TP1,400.0,3
AP1,TP2,129.0,3
AP1,TP3,84.0,3
AP1,TP4,113.0,3
AP1,TP5,237.0,3
AP1,TP6,153.0,3
AP1,TP7,79.0,3
AP1,TP8,126.0,3
AP1,TP9,222.0,3
AP1,TP10,279.0,3
AP1,TP1,243.0,3
AP1,TP2,64.0,3
AP1,TP3,66.0,3
AP1,TP4,0.0,3
AP1,TP5,291.0,3
AP1,TP6,176.0,3
AP1,TP7,146.0,3
AP1,TP8,207.0,3
AP1,TP9,109.0,3
AP1,TP10,298.0,3
AP10,TP1,226.0,3
AP10,TP2,307.0,3
AP10,TP3,130.0,3
AP10,TP4,196.0,3
AP10,TP5,89.0,3
AP10,TP6,273.0,3
AP10,TP7,175.0,3
AP10,TP8,278.0,3
AP10,TP9,222.0,3
AP10,TP10,230.0,3
AP10,TP1,164.0,4
AP10,TP2,123.0,4
AP10,TP3,338.0,4
AP10,TP4,187.0,4
AP10,TP5,136.0,4
AP10,TP6,251.0,4
AP10,TP7,108.0,4
AP10,TP8,249.0,4
AP10,TP9,263.0,4
AP10,TP10,109.0,4
AP10,TP1,206.0,4
AP10,TP2,215.0,4
AP10,TP3,258.0,4
AP10,TP4,103.0,4
AP10,TP5,339.0,4
AP10,TP6,338.0,4
AP10,TP7,252.0,4
AP10,TP8,107.0,4
AP10,TP9,164.0,4
AP10,TP10,292.0,4
AP10,TP1,310.0,4
AP10,TP2,235.0,4
AP10,TP3,136.0,4
AP10,TP4,67.0,4
AP10,TP5,332.0,4
AP10,TP6,221.0,4
AP10,TP7,159.0,4
AP10,TP8,178.0,4
AP10,TP9,88.0,4
AP10,TP10,135.0,4
AP10,TP1,194.0,5
AP10,TP2,168.0,5
AP10,TP3,129.0,5
AP10,TP4,240.0,5
AP10,TP5,210.0,5
AP10,TP6,85.0,5
AP10,TP7,170.0,5
AP10,TP8,281.0,5
AP10,TP9,240.0,5
AP10,TP10,66.0,5
AP10,TP1,81.0,5
AP10,TP2,155.0,5
AP10,TP3,140.0,5
AP10,TP4,159.0,5
AP10,TP5,45.0,5
AP10,TP6,245.0,5
AP10,TP7,226.0,5
AP10,TP8,173.0,5
AP10,TP9,153.0,5
AP10,TP10,187.0,5
AP10,TP1,209.0,5
AP10,TP2,285.0,5
AP10,TP3,140.0,5
AP10,TP4,215.0,5
AP10,TP5,224.0,5
AP10,TP6,156.0,5
AP10,TP7,80.0,5
AP10,TP8,129.0,5
AP10,TP9,226.0,5
AP10,TP10,228.0,5
AP10,TP1,293.0,6
AP10,TP2,157.0,6
AP10,TP3,305.0,6
AP10,TP4,231.0,6
AP10,TP5,138.0,6
AP10,TP6,289.0,6
AP10,TP7,276.0,6
AP10,TP8,166.0,6
AP10,TP9,270.0,6
AP10,TP10,207.0,6
AP11,TP1,161.0,6
AP11,TP2,132.0,6
AP11,TP3,226.0,6
AP11,TP4,353.0,6
AP11,TP5,248.0,6
AP11,TP6,321.0,6
AP11,TP7,254.0,6
AP11,TP8,100.0,6
AP11,TP9,99.0,6
AP11,TP10,179.0,6
AP11,TP1,224.0,6
AP11,TP2,173.0,6
AP11,TP3,234.0,6
AP11,TP4,198.0,6
AP11,TP5,249.0,6
AP11,TP6,93.0,6
AP11,TP7,200.0,6
AP11,TP8,146.0,6
AP11,TP9,153.0,6
AP11,TP10,232.0,6
AP11,TP1,91.0,7
AP11,TP2,167.0,7
AP11,TP3,317.0,7
AP11,TP4,226.0,7
AP11,TP5,98.0,7
AP11,TP6,96.0,7
AP11,TP7,26.0,7
AP11,TP8,196.0,7
AP11,TP9,83.0,7
AP11,TP10,79.0,7
AP11,TP1,200.0,7
AP11,TP2,91.0,7
AP11,TP3,141.0,7
AP11,TP4,121.0,7
AP11,TP5,176.0,7
AP11,TP6,282.0,7
AP11,TP7,8.0,7
AP11,TP8,204.0,7
AP11,TP9,247.0,7
AP11,TP10,162.0,7
AP11,TP1,189.0,7
AP11,TP2,102.0,7
AP11,TP3,213.0,7
AP11,TP4,294.0,7
AP11,TP5,167.0,7
AP11,TP6,294.0,7
AP11,TP7,238.0,7
AP11,TP8,86.0,7
AP11,TP9,163.0,7
AP11,TP10,186.0,7
AP11,TP1,297.0,8
AP11,TP2,356.0,8
AP11,TP3,259.0,8
AP11,TP4,186.0,8
AP11,TP5,186.0,8
AP11,TP6,219.0,8
AP11,TP7,120.0,8
AP11,TP8,237.0,8
AP11,TP9,145.0,8
AP11,TP10,248.0,8
AP11,TP1,96.0,8
AP11,TP2,35.0,8
AP11,TP3,209.0,8
AP11,TP4,144.0,8
AP11,TP5,259.0,8
AP11,TP6,188.0,8
AP11,TP7,180.0,8
AP11,TP8,149.0,8
AP11,TP9,358.0,8
AP11,TP10,131.0,8
AP11,TP1,346.0,8
AP11,TP2,265.0,8
AP11,TP3,202.0,8
AP11,TP4,255.0,8
AP11,TP5,182.0,8
AP11,TP6,88.0,8
AP11,TP7,332.0,8
AP11,TP8,194.0,8
AP11,TP9,386.0,8
AP11,TP10,181.0,8
AP12,TP1,125.0,1
AP12,TP2,305.0,1
AP12,TP3,163.0,1
AP12,TP4,171.0,1
AP12,TP5,299.0,1
AP12,TP6,199.0,1
AP12,TP7,290.0,1
AP12,TP8,121.0,1
AP12,TP9,171.0,1
AP12,TP10,245.0,1
AP12,TP1,222.0,1
AP12,TP2,288.0,1
AP12,TP3,83.0,1
AP12,TP4,99.0,1
AP12,TP5,246.0,1
AP12,TP6,306.0,1
AP12,TP7,165.0,1
AP12,TP8,231.0,1
AP12,TP9,226.0,1
AP12,TP10,278.0,1
AP12,TP1,159.0,1
AP12,TP2,153.0,1
AP12,TP3,206.0,1
AP12,TP4,110.0,1
AP12,TP5,122.0,1
AP12,TP6,256.0,1
AP12,TP7,291.0,1
AP12,TP8,188.0,1
AP12,TP9,204.0,1
AP12,TP10,199.0,1
