Hospital,Tipo_de_paciente,Qtd_pacientes_liberados,Dia
H1,TP1,21,1
H1,TP2,76,2
H1,TP3,34,2
H1,TP4,37,2
H1,TP5,80,2
H1,TP6,33,1
H1,TP7,76,2
H1,TP8,24,2
H1,TP9,57,2
H1,TP10,6,2
H10,TP1,47,1
H10,TP2,52,2
H10,TP3,43,1
H10,TP4,57,2
H10,TP5,18,1
H10,TP6,4,2
H10,TP7,56,2
H10,TP8,50,1
H10,TP9,1,2
H10,TP10,17,2
H2,TP1,6,1
H2,TP2,24,1
H2,TP3,36,1
H2,TP4,51,2
H2,TP5,51,2
H2,TP6,8,2
H2,TP7,23,1
H2,TP8,53,1
H2,TP9,26,2
H2,TP10,50,1
H3,TP1,52,1
H3,TP2,80,1
H3,TP3,78,1
H3,TP4,44,2
H3,TP5,61,2
H3,TP6,63,2
H3,TP7,14,1
H3,TP8,71,2
H3,TP9,24,1
H3,TP10,24,1
H4,TP1,53,1
H4,TP2,56,2
H4,TP3,3,2
H4,TP4,11,1
H4,TP5,68,2
H4,TP6,81,1
H4,TP7,8,1
H4,TP8,16,2
H4,TP9,74,1
H4,TP10,49,2
H5,TP1,72,2
H5,TP2,14,2
H5,TP3,42,1
H5,TP4,17,2
H5,TP5,29,1
H5,TP6,75,2
H5,TP7,70,1
H5,TP8,29,1
H5,TP9,7,1
H5,TP10,70,2
H6,TP1,72,1
H6,TP2,17,1
H6,TP3,12,2
H6,TP4,44,1
H6,TP5,18,2
H6,TP6,11,1
H6,TP7,62,1
H6,TP8,54,1
H6,TP9,32,1
H6,TP10,55,1
H7,TP1,49,2
H7,TP2,36,1
H7,TP3,7,2
H7,TP4,45,2
H7,TP5,28,1
H7,TP6,56,1
H7,TP7,27,1
H7,TP8,25,2
H7,TP9,0,2
H7,TP10,60,2
H8,TP1,38,1
H8,TP2,37,1
H8,TP3,46,1
H8,TP4,46,2
H8,TP5,48,1
H8,TP6,43,1
H8,TP7,36,1
H8,TP8,67,2
H8,TP9,7,2
H8,TP10,10,1
H9,TP1,64,2
H9,TP2,56,1
H9,TP3,41,2
H9,TP4,30,2
H9,TP5,24,1
H9,TP6,48,1
H9,TP7,82,2
H9,TP8,1,2
H9,TP9,61,2
H9,TP10,60,2
