Hospital,Recurso,Qtd_recurso
H1,R1,133.0
H2,R1,138.0
H3,R1,132.0
H4,R1,134.0
H5,R1,145.0
H6,R1,138.0
H7,R1,133.0
H8,R1,137.0
H9,R1,134.0
H10,R1,127.0
H11,R1,142.0
H12,R1,139.0
H13,R1,141.0
H14,R1,142.0
H15,R1,135.0
H1,R10,143.0
H2,R10,150.0
H3,R10,141.0
H4,R10,138.0
H5,R10,141.0
H6,R10,135.0
H7,R10,136.0
H8,R10,126.0
H9,R10,125.0
H10,R10,138.0
H11,R10,143.0
H12,R10,145.0
H13,R10,130.0
H14,R10,131.0
H15,R10,133.0
H1,R2,135.0
H2,R2,136.0
H3,R2,130.0
H4,R2,135.0
H5,R2,135.0
H6,R2,134.0
H7,R2,137.0
H8,R2,131.0
H9,R2,127.0
H10,R2,134.0
H11,R2,135.0
H12,R2,132.0
H13,R2,136.0
H14,R2,138.0
H15,R2,141.0
H1,R3,140.0
H2,R3,139.0
H3,R3,136.0
H4,R3,140.0
H5,R3,134.0
H6,R3,135.0
H7,R3,127.0
H8,R3,139.0
H9,R3,133.0
H10,R3,137.0
H11,R3,135.0
H12,R3,138.0
H13,R3,130.0
H14,R3,145.0
H15,R3,138.0
H1,R4,149.0
H2,R4,135.0
H3,R4,134.0
H4,R4,139.0
H5,R4,141.0
H6,R4,135.0
H7,R4,131.0
H8,R4,142.0
H9,R4,131.0
H10,R4,138.0
H11,R4,132.0
H12,R4,131.0
H13,R4,134.0
H14,R4,132.0
H15,R4,145.0
H1,R5,140.0
H2,R5,139.0
H3,R5,132.0
H4,R5,130.0
H5,R5,138.0
H6,R5,142.0
H7,R5,133.0
H8,R5,139.0
H9,R5,131.0
H10,R5,135.0
H11,R5,135.0
H12,R5,134.0
H13,R5,123.0
H14,R5,135.0
H15,R5,123.0
H1,R6,132.0
H2,R6,140.0
H3,R6,136.0
H4,R6,140.0
H5,R6,145.0
H6,R6,132.0
H7,R6,139.0
H8,R6,133.0
H9,R6,143.0
H10,R6,137.0
H11,R6,125.0
H12,R6,139.0
H13,R6,134.0
H14,R6,141.0
H15,R6,134.0
H1,R7,136.0
H2,R7,139.0
H3,R7,128.0
H4,R7,137.0
H5,R7,136.0
H6,R7,128.0
H7,R7,139.0
H8,R7,136.0
H9,R7,125.0
H10,R7,139.0
H11,R7,133.0
H12,R7,134.0
H13,R7,138.0
H14,R7,137.0
H15,R7,136.0
H1,R8,129.0
H2,R8,130.0
H3,R8,141.0
H4,R8,140.0
H5,R8,137.0
H6,R8,125.0
H7,R8,142.0
H8,R8,141.0
H9,R8,139.0
H10,R8,137.0
H11,R8,137.0
H12,R8,125.0
H13,R8,143.0
H14,R8,134.0
H15,R8,124.0
H1,R9,130.0
H2,R9,136.0
H3,R9,141.0
H4,R9,135.0
H5,R9,140.0
H6,R9,137.0
H7,R9,139.0
H8,R9,133.0
H9,R9,132.0
H10,R9,137.0
H11,R9,131.0
H12,R9,139.0
H13,R9,130.0
H14,R9,138.0
H15,R9,133.0
