Hospital,Area_pop,Distancia
H1,AP1,66.71
H1,AP2,68.36
H1,AP3,41.01
H1,AP4,81.4
H1,AP5,46.69
H1,AP6,1.41
H1,AP7,41.63
H1,AP8,55.33
H1,AP9,10.44
H1,AP10,37.54
H1,AP11,19.31
H1,AP12,66.27
H1,AP13,86.05
H1,AP14,93.04
H1,AP15,41.23
H1,AP16,59.41
H1,AP17,52.2
H1,AP18,85.38
H1,AP19,81.6
H1,AP20,29.15
H1,AP21,44.05
H1,AP22,41.3
H1,AP23,88.75
H1,AP24,45.4
H1,AP25,40.16
H1,AP26,71.57
H1,AP27,87.98
H1,AP28,41.19
H1,AP29,50.29
H1,AP30,59.03
H2,AP1,67.74
H2,AP2,75.01
H2,AP3,33.54
H2,AP4,82.86
H2,AP5,47.51
H2,AP6,12.04
H2,AP7,45.89
H2,AP8,62.03
H2,AP9,20.59
H2,AP10,38.91
H2,AP11,25.02
H2,AP12,74.33
H2,AP13,93.65
H2,AP14,96.46
H2,AP15,37.8
H2,AP16,61.27
H2,AP17,50.99
H2,AP18,94.25
H2,AP19,91.0
H2,AP20,36.35
H2,AP21,45.62
H2,AP22,35.11
H2,AP23,99.05
H2,AP24,52.04
H2,AP25,30.59
H2,AP26,79.83
H2,AP27,98.18
H2,AP28,49.09
H2,AP29,55.44
H2,AP30,62.64
H3,AP1,56.04
H3,AP2,50.01
H3,AP3,48.33
H3,AP4,69.43
H3,AP5,38.08
H3,AP6,18.11
H3,AP7,27.59
H3,AP8,37.11
H3,AP9,17.46
H3,AP10,29.41
H3,AP11,10.05
H3,AP12,47.1
H3,AP13,67.0
H3,AP14,77.94
H3,AP15,41.11
H3,AP16,47.8
H3,AP17,46.57
H3,AP18,66.22
H3,AP19,62.77
H3,AP20,11.66
H3,AP21,34.44
H3,AP22,46.17
H3,AP23,71.7
H3,AP24,27.51
H3,AP25,52.01
H3,AP26,52.35
H3,AP27,70.6
H3,AP28,44.42
H3,AP29,34.13
H3,AP30,44.69
H4,AP1,38.63
H4,AP2,29.07
H4,AP3,88.81
H4,AP4,29.73
H4,AP5,53.08
H4,AP6,91.08
H4,AP7,50.45
H4,AP8,39.41
H4,AP9,92.61
H4,AP10,59.14
H4,AP11,72.42
H4,AP12,40.82
H4,AP13,32.02
H4,AP14,11.4
H4,AP15,71.57
H4,AP16,39.46
H4,AP17,57.49
H4,AP18,49.16
H4,AP19,56.89
H4,AP20,63.56
H4,AP21,53.01
H4,AP22,82.87
H4,AP23,79.08
H4,AP24,47.89
H4,AP25,100.4
H4,AP26,41.23
H4,AP27,75.95
H4,AP28,114.81
H4,AP29,41.44
H4,AP30,34.13
H5,AP1,96.21
H5,AP2,85.88
H5,AP3,74.33
H5,AP4,109.79
H5,AP5,77.39
H5,AP6,33.24
H5,AP7,67.94
H5,AP8,74.09
H5,AP9,25.5
H5,AP10,68.26
H5,AP11,47.71
H5,AP12,78.77
H5,AP13,98.67
H5,AP14,117.44
H5,AP15,74.95
H5,AP16,88.09
H5,AP17,84.53
H5,AP18,91.92
H5,AP19,85.21
H5,AP20,51.62
H5,AP21,74.06
H5,AP22,75.13
H5,AP23,83.55
H5,AP24,65.8
H5,AP25,71.18
H5,AP26,82.57
H5,AP27,84.01
H5,AP28,8.94
H5,AP29,73.76
H5,AP30,84.86
H6,AP1,26.08
H6,AP2,21.47
H6,AP3,55.46
H6,AP4,35.78
H6,AP5,21.21
H6,AP6,51.26
H6,AP7,11.0
H6,AP8,12.53
H6,AP9,53.34
H6,AP10,22.47
H6,AP11,32.57
H6,AP12,28.6
H6,AP13,42.06
H6,AP14,41.88
H6,AP15,39.12
H6,AP16,18.03
H6,AP17,30.81
H6,AP18,50.25
H6,AP19,52.15
H6,AP20,24.41
H6,AP21,18.6
H6,AP22,50.12
H6,AP23,70.58
H6,AP24,11.7
H6,AP25,65.46
H6,AP26,34.06
H6,AP27,68.15
H6,AP28,78.57
H6,AP29,2.24
H6,AP30,9.85
H7,AP1,49.65
H7,AP2,67.05
H7,AP3,14.87
H7,AP4,64.85
H7,AP5,30.41
H7,AP6,28.16
H7,AP7,35.44
H7,AP8,55.15
H7,AP9,37.01
H7,AP10,24.08
H7,AP11,24.41
H7,AP12,70.24
H7,AP13,87.32
H7,AP14,81.05
H7,AP15,16.28
H7,AP16,44.72
H7,AP17,30.89
H7,AP18,91.92
H7,AP19,90.8
H7,AP20,34.66
H7,AP21,30.02
H7,AP22,14.04
H7,AP23,103.32
H7,AP24,46.07
H7,AP25,20.25
H7,AP26,76.06
H7,AP27,101.83
H7,AP28,68.47
H7,AP29,45.61
H7,AP30,49.01
H8,AP1,66.31
H8,AP2,78.64
H8,AP3,25.63
H8,AP4,81.54
H8,AP5,46.49
H8,AP6,21.1
H8,AP7,48.0
H8,AP8,65.92
H8,AP9,29.97
H8,AP10,38.83
H8,AP11,29.73
H8,AP12,79.4
H8,AP13,98.06
H8,AP14,96.77
H8,AP15,33.42
H8,AP16,60.73
H8,AP17,48.02
H8,AP18,100.09
H8,AP19,97.49
H8,AP20,41.44
H8,AP21,45.35
H8,AP22,28.3
H8,AP23,106.83
H8,AP24,56.09
H8,AP25,21.21
H8,AP26,85.07
H8,AP27,105.8
H8,AP28,58.31
H8,AP29,58.03
H8,AP30,63.64
H9,AP1,26.08
H9,AP2,14.32
H9,AP3,68.96
H9,AP4,28.0
H9,AP5,32.89
H9,AP6,67.68
H9,AP7,27.29
H9,AP8,18.03
H9,AP9,69.32
H9,AP10,37.22
H9,AP11,49.04
H9,AP12,27.02
H9,AP13,31.89
H9,AP14,26.87
H9,AP15,51.87
H9,AP16,22.02
H9,AP17,39.96
H9,AP18,44.78
H9,AP19,49.48
H9,AP20,40.25
H9,AP21,31.78
H9,AP22,63.25
H9,AP23,70.58
H9,AP24,25.0
H9,AP25,79.83
H9,AP26,30.59
H9,AP27,67.74
H9,AP28,92.76
H9,AP29,18.03
H9,AP30,13.0
H10,AP1,65.44
H10,AP2,59.91
H10,AP3,50.22
H10,AP4,79.21
H10,AP5,46.65
H10,AP6,11.4
H10,AP7,37.54
H10,AP8,47.13
H10,AP9,7.28
H10,AP10,37.59
H10,AP11,17.0
H10,AP12,56.04
H10,AP13,76.16
H10,AP14,88.2
H10,AP15,46.39
H10,AP16,57.38
