Hospital,Area_pop,Distancia
H1,AP1,327.02
H1,AP2,109.55
H1,AP3,319.0
H1,AP4,79.56
H1,AP5,496.79
H1,AP6,407.74
H1,AP7,250.89
H1,AP8,318.82
H1,AP9,186.68
H1,AP10,478.52
H1,AP11,261.01
H1,AP12,350.72
H1,AP13,133.96
H1,AP14,284.4
H1,AP15,420.78
H1,AP16,323.43
H1,AP17,208.69
H1,AP18,440.65
H1,AP19,129.54
H1,AP20,251.38
H1,AP21,189.38
H1,AP22,437.56
H1,AP23,533.7
H1,AP24,467.35
H1,AP25,340.83
H1,AP26,363.0
H1,AP27,307.73
H1,AP28,326.08
H1,AP29,330.07
H1,AP30,510.0
H2,AP1,588.05
H2,AP2,309.48
H2,AP3,477.07
H2,AP4,414.44
H2,AP5,458.73
H2,AP6,245.33
H2,AP7,441.9
H2,AP8,45.28
H2,AP9,177.46
H2,AP10,170.0
H2,AP11,173.61
H2,AP12,306.08
H2,AP13,236.48
H2,AP14,184.62
H2,AP15,406.26
H2,AP16,416.22
H2,AP17,238.42
H2,AP18,363.83
H2,AP19,227.69
H2,AP20,358.62
H2,AP21,218.9
H2,AP22,422.09
H2,AP23,463.61
H2,AP24,212.85
H2,AP25,15.81
H2,AP26,468.37
H2,AP27,103.95
H2,AP28,174.35
H2,AP29,584.7
H2,AP30,410.24
H3,AP1,169.45
H3,AP2,429.42
H3,AP3,16.28
H3,AP4,282.45
H3,AP5,247.24
H3,AP6,333.83
H3,AP7,85.0
H3,AP8,440.61
H3,AP9,346.42
H3,AP10,494.77
H3,AP11,311.17
H3,AP12,222.07
H3,AP13,310.36
H3,AP14,303.59
H3,AP15,193.0
H3,AP16,79.21
H3,AP17,252.52
H3,AP18,259.62
H3,AP19,366.85
H3,AP20,127.48
H3,AP21,282.29
H3,AP22,199.06
H3,AP23,296.61
H3,AP24,435.6
H3,AP25,472.23
H3,AP26,55.04
H3,AP27,383.11
H3,AP28,329.68
H3,AP29,159.35
H3,AP30,309.72
H4,AP1,318.0
H4,AP2,343.68
H4,AP3,175.32
H4,AP4,277.56
H4,AP5,214.45
H4,AP6,169.5
H4,AP7,165.36
H4,AP8,268.15
H4,AP9,203.18
