Hospital,Recurso,Qtd_recurso
H1,R1,142.0
H2,R1,135.0
H3,R1,158.0
H4,R1,145.0
H5,R1,158.0
H6,R1,165.0
H7,R1,149.0
H8,R1,166.0
H9,R1,131.0
H10,R1,155.0
H1,R10,174.0
H2,R10,135.0
H3,R10,137.0
H4,R10,176.0
H5,R10,147.0
H6,R10,185.0
H7,R10,146.0
H8,R10,120.0
H9,R10,149.0
H10,R10,145.0
H1,R2,150.0
H2,R2,159.0
H3,R2,147.0
H4,R2,134.0
H5,R2,139.0
H6,R2,144.0
H7,R2,157.0
H8,R2,166.0
H9,R2,141.0
H10,R2,191.0
H1,R3,157.0
H2,R3,162.0
H3,R3,183.0
H4,R3,150.0
H5,R3,175.0
H6,R3,163.0
H7,R3,137.0
H8,R3,183.0
H9,R3,160.0
H10,R3,141.0
H1,R4,134.0
H2,R4,152.0
H3,R4,173.0
H4,R4,150.0
H5,R4,110.0
H6,R4,159.0
H7,R4,143.0
H8,R4,143.0
H9,R4,148.0
H10,R4,158.0
H1,R5,150.0
H2,R5,167.0
H3,R5,143.0
H4,R5,181.0
H5,R5,141.0
H6,R5,133.0
H7,R5,155.0
H8,R5,182.0
H9,R5,147.0
H10,R5,143.0
H1,R6,181.0
H2,R6,132.0
H3,R6,150.0
H4,R6,162.0
H5,R6,174.0
H6,R6,141.0
H7,R6,136.0
H8,R6,166.0
H9,R6,156.0
H10,R6,164.0
H1,R7,170.0
H2,R7,141.0
H3,R7,136.0
H4,R7,152.0
H5,R7,135.0
H6,R7,142.0
H7,R7,137.0
H8,R7,146.0
H9,R7,164.0
H10,R7,143.0
H1,R8,184.0
H2,R8,166.0
H3,R8,129.0
H4,R8,166.0
H5,R8,155.0
H6,R8,147.0
H7,R8,170.0
H8,R8,156.0
H9,R8,169.0
H10,R8,149.0
H1,R9,160.0
H2,R9,135.0
H3,R9,150.0
H4,R9,183.0
H5,R9,142.0
H6,R9,157.0
H7,R9,149.0
H8,R9,153.0
H9,R9,146.0
H10,R9,156.0
